,entry time,exit time,id,entry,exit,qty,leverage,stop loss,take profit,actualised,type,abs capital gain,capital gain
629,1631848504523,1631849823.909,314,47834.42,48025.75768,4.397,125,48025.75768,47356.0758,True,SHORT,-0.004980079681274757,-1051.6397236999696
630,1631861104104,1631862483.371,315,47882.49,48074.01996000001,4.394,125,48074.01996000001,48361.3149,True,LONG,0.0050000000000000044,1051.978305300001
631,1631861104104,1631862062.9729998,315,47882.49,48074.01996000001,4.394,125,48074.01996000001,47403.6651,True,SHORT,-0.004980079681274896,-1051.978305299999
632,1631862902708,1631865423.1239998,316,48021.47,47829.38412,4.383,125,47829.38412,48501.6847,True,LONG,-0.0050000000000000044,-1052.3905150500007
633,1631862902708,1631866143.7979999,316,48021.47,47829.38412,4.383,125,47829.38412,47541.2553,True,SHORT,0.005020080321285203,1052.3905150500132
634,1631865605395,1631867342.276,317,47734.74,47925.67896000001,4.768,125,47925.67896000001,48212.0874,True,LONG,0.0050000000000000044,1137.9962016000009
635,1631865605395,1631867043.535,317,47734.74,47925.67896000001,4.768,125,47925.67896000001,47257.3926,True,SHORT,-0.004980079681274896,-1137.9962015999988
636,1631891703261,1631901183.975,318,47505.32,47315.29872,4.431,125,47315.29872,47980.3732,True,LONG,-0.0050000000000000044,-1052.4803646000012
637,1631891703261,1631901782.64,318,47505.32,47315.29872,4.431,125,47315.29872,47030.2668,True,SHORT,0.005020080321285203,1052.480364600013
638,1631902504481,1631902982.486,319,46818.9,47006.1756,4.494,125,47006.1756,47287.08900000001,True,LONG,0.0050000000000000044,1052.0206830000009
639,1631902504481,1631902923.553,319,46818.9,47006.1756,4.494,125,47006.1756,46350.711,True,SHORT,-0.004980079681274896,-1052.0206829999988
640,1631909702631,1631910663.279,320,47360.0,47170.56,4.445,125,47170.56,47833.6,True,LONG,-0.0050000000000000044,-1052.5760000000012
641,1631909702631,1631910723.032,320,47360.0,47170.56,4.445,125,47170.56,46886.4,True,SHORT,0.005020080321285203,1052.576000000013
642,1631912404558,1631914922.696,321,46956.09,47143.91436,4.481,125,47143.91436,47425.65089999999,True,LONG,0.0050000000000000044,1052.0511964500008
643,1631912404558,1631914382.439,321,46956.09,47143.91436,4.481,125,47143.91436,46486.5291,True,SHORT,-0.004980079681274896,-1052.051196449999
644,1631917804737,1631918943.58,322,47309.99,47120.75004,4.449,125,47120.75004,47783.0899,True,LONG,-0.0050000000000000044,-1052.4107275500007
645,1631917804737,1631919002.955,322,47309.99,47120.75004,4.449,125,47120.75004,46836.8901,True,SHORT,0.005020080321285203,1052.410727550013
646,1631920502787,1631922543.099,323,47097.87,47286.26148,4.468,125,47286.26148,47568.8487,True,LONG,0.0050000000000000044,1052.166415800001
647,1631920502787,1631922484.921,323,47097.87,47286.26148,4.468,125,47286.26148,46626.8913,True,SHORT,-0.004980079681274896,-1052.166415799999
648,1631924104233,1631925483.639,324,47341.44,47152.074239999994,4.4460000000000015,125,47152.074239999994,47814.8544,True,LONG,-0.0050000000000000044,-1052.400211200001
649,1631924104233,1631925962.776,324,47341.44,47152.074239999994,4.4460000000000015,125,47152.074239999994,46868.0256,True,SHORT,0.005020080321285203,1052.400211200013
650,1631926802655,1631929983.015,325,47384.98,47574.51992000001,4.441,125,47574.51992000001,47858.82980000001,True,LONG,0.0050000000000000044,1052.183480900001
651,1631926802655,1631929202.6360002,325,47384.98,47574.51992000001,4.441,125,47574.51992000001,46911.1302,True,SHORT,-0.004980079681275035,-1052.1834809000284
652,1631927704034,1631934783.326,326,47546.98,47737.16792,4.5360000000000005,125,47737.16792,48022.4498,True,LONG,0.0050000000000000044,1078.365506400001
653,1631927704034,1631934783.074,326,47546.98,47737.16792,4.5360000000000005,125,47737.16792,47071.5102,True,SHORT,-0.004980079681274757,-1078.3655063999688
654,1631959203798,1631966166.014,327,48622.82,48428.32872,4.331,125,48428.32872,49109.0482,True,LONG,-0.0050000000000000044,-1052.927167100001
655,1631959203798,1631966222.349,327,48622.82,48428.32872,4.331,125,48428.32872,48136.5918,True,SHORT,0.005020080321285203,1052.9271671000129
656,1631961004865,1631966167.8279998,329,48631.42,48436.89432,4.587,125,48436.89432,49117.7342,True,LONG,-0.0050000000000000044,-1115.3616177000008
657,1631961004865,1631966225.2910001,329,48631.42,48436.89432,4.587,125,48436.89432,48145.1058,True,SHORT,0.005020080321285203,1115.3616177000138
658,1631961904910,1631966169.1120002,330,48615.96,48421.49616,4.817,125,48421.49616,49102.1196,True,LONG,-0.004999999999999866,-1170.9153965999685
659,1631961904910,1631966226.7770002,330,48615.96,48421.49616,4.817,125,48421.49616,48129.8004,True,SHORT,0.005020080321284925,1170.9153965999499
660,1631960105130,1631966402.504,328,48590.03,48395.66988,4.442,125,48395.66988,49075.9303,True,LONG,-0.0050000000000000044,-1079.184566300001
661,1631960105130,1631966823.0479999,328,48590.03,48395.66988,4.442,125,48395.66988,48104.1297,True,SHORT,0.005020080321285203,1079.1845663000136
662,1631979903162,1631983262.304,331,48405.7,48212.0772,4.3439999999999985,125,48212.0772,48889.75700000001,True,LONG,-0.004999999999999866,-1051.3718039999717
